Package_id,Name,country_id,Package Details,Price,Duration,What is Included,Number of Slots,Tour Operator Name,Transportation Type,Pickup/Drop-off Points,Age Restrictions,Contact Information,,loc
1,Paris City Tour,1,"Explore the city of love with visits to the Eiffel Tower, Louvre, and more",$500,3 days,"Tour guide, Transportation, Entrance fees",10,Global Travel Co.,Bus,City Center,None,info@operator0.com,,france/tour1.jpg
2,Champagne Region Tour,1,Discover the vineyards and champagne houses of the Champagne region,$350,2 days,"Tour guide, Transportation, Wine tasting",12,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator1.com,,france/tour2.jpg
3,French Riviera Getaway,1,Relax on the stunning beaches of the French Riviera,$600,4 days,"Accommodation, Meals, Beach access",14,Global Travel Co.,Private Car,City Center,12-60 years,info@operator2.com,,france/tour3.jpg
4,Normandy D-Day Tour,1,Explore the historic D-Day landing beaches and museums,$450,3 days,"Tour guide, Transportation, Entrance fees",16,Dream Destinations,Bus,Hotel Lobby,None,info@operator3.com,,france/tour4.jpg
5,Madrid Historical Tour,2,Immerse yourself in the rich history and culture of Madrid,$450,3 days,"Tour guide, Transportation, Entrance fees",18,Global Travel Co.,Flight,City Center,12-60 years,info@operator4.com,,spain/tour1.jpg
6,Barcelona Architecture Tour,2,Marvel at the architectural masterpieces of Barcelona,$400,2 days,"Tour guide, Transportation, Entrance fees",20,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator5.com,,spain/tour2.jpg
7,Andalusia Experience,2,Experience the vibrant culture and history of Andalusia,$700,5 days,"Accommodation, Meals, Cultural activities",22,Global Travel Co.,Bus,City Center,None,info@operator6.com,,spain/tour3.jpg
8,Canary Islands Adventure,2,"Discover the beautiful Canary Islands, including Tenerife and Gran Canaria",$800,7 days,"Accommodation, Meals, Island tours",24,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator7.com,,spain/tour4.jpg
9,New York City Adventure,3,Explore the iconic sights and sounds of New York City,$800,4 days,"Accommodation, Meals, City tour",26,Global Travel Co.,Private Car,City Center,12-60 years,info@operator8.com,,us/tour1.jpg
10,Grand Canyon Expedition,3,Discover the natural wonders of the Grand Canyon,$750,3 days,"Transportation, Meals, Guided tours",28,Dream Destinations,Bus,Hotel Lobby,None,info@operator9.com,,us/tour2.jpg
11,California Road Trip,3,Enjoy a scenic road trip through California's top attractions,$1200,7 days,"Accommodation, Meals, Car rental",30,Global Travel Co.,Flight,City Center,12-60 years,info@operator10.com,,us/tour3.jpg
12,Florida Theme Park Extravaganza,3,Visit world-famous theme parks like Disney World and Universal Studios,$1000,5 days,"Accommodation, Park tickets, Meals",32,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator11.com,,us/tour4.jpg
13,Beijing Highlights Tour,4,"Visit the Forbidden City, Great Wall, and other Beijing highlights",$600,4 days,"Tour guide, Transportation, Entrance fees",34,Global Travel Co.,Bus,City Center,None,info@operator12.com,,china/tour1.jpg
14,Shanghai Modern City Tour,4,Explore the modern metropolis of Shanghai,$500,3 days,"Tour guide, Transportation, Meals",36,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator13.com,,china/tour2.jpg
15,Yunnan Cultural Experience,4,Immerse yourself in the diverse cultures of Yunnan province,$900,6 days,"Accommodation, Meals, Cultural activities",38,Global Travel Co.,Private Car,City Center,12-60 years,info@operator14.com,,china/tour3.jpg
16,Guilin River Cruise,4,Enjoy a scenic cruise along the Li River in Guilin,$700,4 days,"Accommodation, Meals, River cruise",40,Dream Destinations,Bus,Hotel Lobby,None,info@operator15.com,,china/tour4.jpg
17,Rome Historical Walk,5,"Discover the ancient history of Rome, including the Colosseum and Vatican",$450,3 days,"Tour guide, Transportation, Entrance fees",42,Global Travel Co.,Flight,City Center,12-60 years,info@operator16.com,,italy/tour1.jpg
18,Tuscany Wine Tour,5,Enjoy wine tasting in the beautiful Tuscan countryside,$400,2 days,"Transportation, Wine tasting, Meals",44,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator17.com,,italy/tour2.jpg
19,Amalfi Coast Escape,5,Relax and explore the stunning Amalfi Coast,$700,5 days,"Accommodation, Meals, Beach access",46,Global Travel Co.,Bus,City Center,None,info@operator18.com,,italy/tour3.jpg
20,Venice Gondola Ride,5,Experience the charm of Venice with a traditional gondola ride,$500,3 days,"Accommodation, Meals, Gondola ride",48,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator19.com,,italy/tour4.jpg
21,Istanbul Cultural Journey,6,Experience the unique blend of cultures in Istanbul,$450,3 days,"Tour guide, Transportation, Entrance fees",50,Global Travel Co.,Private Car,City Center,12-60 years,info@operator20.com,,turkey/tour1.jpg
22,Cappadocia Hot Air Balloon Tour,6,Soar above the fairy chimneys of Cappadocia in a hot air balloon,$400,2 days,"Transportation, Hot air balloon ride, Meals",52,Dream Destinations,Bus,Hotel Lobby,None,info@operator21.com,,turkey/tour2.jpg
23,Ephesus Ancient Ruins Tour,6,Explore the ancient ruins of Ephesus,$600,4 days,"Tour guide, Transportation, Entrance fees",54,Global Travel Co.,Flight,City Center,12-60 years,info@operator22.com,,turkey/tour3.jpg
24,Pamukkale Thermal Pools,6,Relax in the natural thermal pools of Pamukkale,$500,3 days,"Accommodation, Meals, Pool access",56,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator23.com,,turkey/tour4.jpg
25,Mexico City Exploration,7,Discover the history and culture of Mexico City,$450,3 days,"Tour guide, Transportation, Entrance fees",58,Global Travel Co.,Bus,City Center,None,info@operator24.com,,mexico/tour1.jpg
26,Yucat√°n Peninsula Adventure,7,Visit the Mayan ruins and beautiful beaches of the Yucat·n Peninsula,$750,5 days,"Accommodation, Meals, Cultural activities",60,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator25.com,,mexico/tour2.jpg
27,Baja California Whale Watching,7,Experience whale watching in Baja California,$650,3 days,"Transportation, Meals, Whale watching tour",62,Global Travel Co.,Private Car,City Center,12-60 years,info@operator26.com,,mexico/tour3.jpg
28,Riviera Maya Relaxation,7,Relax in luxury resorts along the Riviera Maya,$850,5 days,"Accommodation, Meals, Resort activities",64,Dream Destinations,Bus,Hotel Lobby,None,info@operator27.com,,mexico/tour4.jpg
29,London Sightseeing Tour,8,"Explore the iconic sights of London, including Buckingham Palace and the Tower of London",$500,3 days,"Tour guide, Transportation, Entrance fees",66,Global Travel Co.,Flight,City Center,12-60 years,info@operator28.com,,uk/tour1.jpg
30,Scottish Highlands Escape,8,Discover the breathtaking landscapes of the Scottish Highlands,$600,4 days,"Accommodation, Meals, Scenic tours",68,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator29.com,,uk/tour2.jpg
31,Wales Coastal Path Walk,8,Walk along the stunning coastal paths of Wales,$700,5 days,"Accommodation, Meals, Guided walks",70,Global Travel Co.,Bus,City Center,None,info@operator30.com,,uk/tour3.jpg
32,Northern Ireland Giants Causeway,8,Visit the natural wonder of the Giant's Causeway in Northern Ireland,$550,4 days,"Accommodation, Meals, Guided tours",72,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator31.com,,uk/tour4.jpg
33,Berlin Historical Tour,9,"Discover the rich history of Berlin, including the Berlin Wall and Brandenburg Gate",$450,3 days,"Tour guide, Transportation, Entrance fees",74,Global Travel Co.,Private Car,City Center,12-60 years,info@operator32.com,,germany/tour1.jpg
34,Bavaria Castle Tour,9,"Explore the beautiful castles of Bavaria, including Neuschwanstein",$400,2 days,"Tour guide, Transportation, Entrance fees",76,Dream Destinations,Bus,Hotel Lobby,None,info@operator33.com,,germany/tour2.jpg
35,Rhine Valley Cruise,9,Enjoy a scenic cruise along the Rhine River,$600,4 days,"Accommodation, Meals, River cruise",78,Global Travel Co.,Flight,City Center,12-60 years,info@operator34.com,,germany/tour3.jpg
36,Black Forest Hiking Adventure,9,Hike through the picturesque Black Forest region,$500,4 days,"Accommodation, Meals, Guided hikes",80,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator35.com,,germany/tour4.jpg
37,Athens Historical Tour,10,"Discover the ancient history of Athens, including the Acropolis and Parthenon",$450,3 days,"Tour guide, Transportation, Entrance fees",82,Global Travel Co.,Bus,City Center,None,info@operator36.com,,greece/tour1.jpg
38,Santorini Island Escape,10,Relax and explore the beautiful island of Santorini,$600,4 days,"Accommodation, Meals, Beach access",84,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator37.com,,greece/tour2.jpg
39,Cretan Culinary Experience,10,Enjoy the flavors of Crete with a culinary tour,$750,5 days,"Accommodation, Meals, Culinary experiences",86,Global Travel Co.,Private Car,City Center,12-60 years,info@operator38.com,,greece/tour3.jpg
40,Meteora Monasteries Tour,10,Visit the stunning monasteries perched atop rock pillars in Meteora,$550,3 days,"Tour guide, Transportation, Entrance fees",88,Dream Destinations,Bus,Hotel Lobby,None,info@operator39.com,,greece/tour4.jpg
