Package_id,Name,country_id,Package Details,Price,Duration,What is Included,Start Date,End Date,Number of Slots,Tour Operator Name,Transportation Type,Pickup/Drop-off Points,Age Restrictions,Contact Information
1,Paris City Tour,1,Details,$500,3 days,Placeholder,11:20.1,11:20.1,10,Global Travel Co.,Bus,City Center,None,info@operator0.com
2,Champagne Region Tour,1,Details,$350,2 days,Placeholder,11:20.1,11:20.1,12,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator1.com
3,French Riviera Getaway,1,Details,$600,4 days,Placeholder,11:20.1,11:20.1,14,Global Travel Co.,Private Car,City Center,12-60 years,info@operator2.com
4,Normandy D-Day Tour,1,Details,$450,3 days,Placeholder,11:20.1,11:20.1,16,Dream Destinations,Bus,Hotel Lobby,None,info@operator3.com
5,Madrid Historical Tour,2,Details,$450,3 days,Placeholder,11:20.1,11:20.1,18,Global Travel Co.,Flight,City Center,12-60 years,info@operator4.com
6,Barcelona Architecture Tour,2,Details,$400,2 days,Placeholder,11:20.1,11:20.1,20,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator5.com
7,Andalusia Experience,2,Details,$700,5 days,Placeholder,11:20.1,11:20.1,22,Global Travel Co.,Bus,City Center,None,info@operator6.com
8,Canary Islands Adventure,2,Details,$800,7 days,Placeholder,11:20.1,11:20.1,24,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator7.com
9,New York City Adventure,3,Details,$800,4 days,Placeholder,11:20.1,11:20.1,26,Global Travel Co.,Private Car,City Center,12-60 years,info@operator8.com
10,Grand Canyon Expedition,3,Details,$750,3 days,Placeholder,11:20.1,11:20.1,28,Dream Destinations,Bus,Hotel Lobby,None,info@operator9.com
11,California Road Trip,3,Details,$1200,7 days,Placeholder,11:20.1,11:20.1,30,Global Travel Co.,Flight,City Center,12-60 years,info@operator10.com
12,Florida Theme Park Extravaganza,3,Details,$1000,5 days,Placeholder,11:20.1,11:20.1,32,Dream Destinations,Private Car,Hotel Lobby,12-60 years,info@operator11.com
13,Beijing Highlights Tour,4,Details,$600,4 days,Placeholder,11:20.1,11:20.1,34,Global Travel Co.,Bus,City Center,None,info@operator12.com
14,Shanghai Modern City Tour,4,Details,$500,3 days,Placeholder,11:20.1,11:20.1,36,Dream Destinations,Flight,Hotel Lobby,12-60 years,info@operator13.com
15,Yunnan Cultural Experience,4,Details,$900,6 days,Placeholder,11:20.1,11:20.1,38,Global Travel Co.,Private Car,City Center,12-60 years,info@operator14.com
16,Guilin River Cruise,4,Details,$700,4 days,Placeholder,11:20.1,11:20.1,40,Dream Destinations,Bus,Hotel Lobby,None,info@operator15.com
