country_id,name,Attraction,besttime,image_loc,destination_id,Timings,Description,Entry Fee,Address,booking url
1,France,Eiffel Tower,April - June,france/ef.jpg,1,9:00 AM - 12:45 AM,The Eiffel Tower is one of the most iconic landmarks in the world. It offers stunning views of Paris from its observation decks and is a must-visit attraction for tourists.,"€25.90 for adults, €13 for children (4-11)","Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France",https://www.toureiffel.paris/en
1,France,Louvre,April - June,france/louvre.jpg,2,9:00 AM - 6:00 PM,"The Louvre is the world's largest art museum and a historic monument in Paris, France. It is home to thousands of works of art, including the Mona Lisa and the Venus de Milo.","€15 for adults, free for children under 18","Rue de Rivoli, 75001 Paris, France",https://www.louvre.fr/en
1,France,Palace of Versailles,April - June,france/palace.jpg,3,9:00 AM - 6:30 PM,"The Palace of Versailles is a former royal residence located in Versailles, France. It is known for its opulent architecture, beautiful gardens, and rich history.","€18 for adults, free for children under 18","Place d'Armes, 78000 Versailles, France",https://en.chateauversailles.fr/
1,France,Promenade des Anglais,May - September,france/promenade.jpg,4,Open 24 hours,"The Promenade des Anglais is a famous seaside promenade in Nice, France. It offers scenic views of the Mediterranean Sea and is a popular spot for walking, jogging, and cycling.",Free,"Nice, France",N/A
1,France,Musee Matisse,May - September,france/musee.jpg,5,10:00 AM - 6:00 PM,"The Musee Matisse is a museum in Nice, France, dedicated to the works of the French artist Henri Matisse. It houses a collection of his paintings, sculptures, and drawings.","€10 for adults, free for children under 18","164 Avenue des Arènes de Cimiez, 06000 Nice, France",https://musee-matisse-nice.org/
2,Spain,Sagrada Família,March - June,spain/sagrada.jpg,6,9:00 AM - 6:00 PM,"The Sagrada Família is a large unfinished Roman Catholic basilica in Barcelona, Spain. Designed by Antoni Gaudí, it is a UNESCO World Heritage Site and a stunning example of modernist architecture.","€20 for adults, €10 for children (11-17)","Carrer de Mallorca, 401, 08013 Barcelona, Spain",https://sagradafamilia.org/
2,Spain,Prado Museum,March - June,spain/prado.jpg,7,10:00 AM - 8:00 PM,"The Prado Museum is the main Spanish national art museum, located in Madrid. It is widely considered to have one of the finest collections of European art, dating from the 12th century to the early 20th century.","€15 for adults, free for children under 18","Calle de Ruiz de Alarcón, 23, 28014 Madrid, Spain",https://www.museodelprado.es/en
2,Spain,Plaza de España,March - June,spain/plaza.jpg,8,Open 24 hours,"Plaza de España is a large square in the city of Seville, Spain. It is a popular tourist destination known for its impressive architecture and beautiful tiled fountains.",Free,"Av de Isabel la Católica, 41004 Sevilla, Spain",N/A
2,Spain,Park Güell,September - November,spain/park.jpg,9,8:00 AM - 9:30 PM,"Park Güell is a public park system composed of gardens and architectural elements located on Carmel Hill, in Barcelona, Spain. It was designed by the architect Antoni Gaudí and built from 1900 to 1914.","€10 for adults, free for children under 7","Carrer d'Olot, s/n, 08024 Barcelona, Spain",https://www.parkguell.cat/en
2,Spain,Alhambra,September - November,spain/alhambra.jpg,10,8:30 AM - 8:00 PM,"The Alhambra is a palace and fortress complex located in Granada, Andalusia, Spain. It is one of the most famous monuments of Islamic architecture and one of the best-preserved palaces of the historic Islamic world.","€14 for adults, free for children under 12","Calle Real de la Alhambra, s/n, 18009 Granada, Spain",https://www.alhambra-patronato.es/en
3,US,Statue of Liberty,April - November,us/statue.jpg,11,8:30 AM - 4:00 PM,"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor, representing freedom and democracy. It was a gift from the people of France to the United States.","$23.50 for adults, $12 for children (4-12)","Liberty Island, New York, NY 10004, USA",https://www.nps.gov/stli/index.htm
