restaurant_id,name,country_id,location,cuisine_type,rating,contact_info,opening_time,closing_time,address,description,imgloc,website,country,price_range
1,Mirazur,1,Menton,French,5,+33 4 93 60 00 00,9:00 AM,10:00 PM,"1 Boulevard de la Mer, 06500 Menton, France",A renowned French restaurant offering exquisite fine dining with stunning views of the French Riviera.,france/Mirazur.jpg,https://theuselessweb.com/,france,10
2,L'Arpège,1,Paris,Vegetarian,4.5,+33 1 43 17 70 00,10:00 AM,11:00 PM,"84 Rue de Varenne, 75007 Paris, France",A vegetarian-focused Parisian restaurant known for its innovative and sustainable cuisine.,france/L'Arp�ge.jpg,https://theuselessweb.com/,france,25
3,Le Jules Verne,1,Paris,French,4,+33 1 83 77 00 00,9:00 AM,12:00 AM,"Eiffel Tower, Champ de Mars, 75007 Paris, France","A gourmet restaurant located on the Eiffel Tower, serving refined French dishes with a view.",france/Le-Jules-Verne.jpg,https://theuselessweb.com/,france,35
4,El Celler de Can Roca,2,Girona,Spanish,5,+34 972 52 00 00,9:00 AM,1:00 AM,"Calle Can Sunyer, 48, 17007 Girona, Spain",A Spanish restaurant in Girona offering a unique gastronomic experience with locally inspired dishes.,spain/Elceller.jpg,https://theuselessweb.com/,spain,10
5,Arzak,2,San Sebastián,Spanish,4.5,+34 943 28 00 00,10:00 AM,11:00 PM,"Avenida Alcalde Elosegi, 273, 20015 San Sebastián, Spain","A celebrated Spanish eatery in San Sebastián, blending tradition and modernity in Basque cuisine.",spain/Arzak.jpg,https://theuselessweb.com/,spain,25
6,Azurmendi,2,Larrabetzu,Basque,4,+34 943 28 00 00,11:00 AM,9:00 PM,"Barrio Legina Auzoa, s/n, 48195 Larrabetzu, Spain",A Michelin-starred Basque restaurant specializing in sustainable and artistic culinary creations.,spain/Azurmendi.jpg,https://theuselessweb.com/,spain,35
7,Eleven Madison Park,3,New York,American,5,+1 212 889 1222,9:00 AM,10:00 PM,"11 Madison Ave, New York, NY 10010, USA","A top-rated American restaurant in New York City, celebrated for its creative and elegant dishes.",us/Elevenmadison.jpg,https://theuselessweb.com/,usa,10
8,Per Se,3,New York,American,4.5,+1 212 382 2300,10:00 AM,11:00 PM,"10 Columbus Cir, New York, NY 10019, USA","An upscale dining experience in New York City, offering contemporary American cuisine with a view.",us/perse.jpg,https://theuselessweb.com/,usa,25
9,French Laundry,3,California,American,4,+1 707 253 4500,9:00 AM,12:00 AM,"6640 Washington St, Yountville, CA 94599, USA",A California gem serving modern American dishes with a focus on seasonal ingredients and wine pairings.,us/frenchlaundry.jpg,https://theuselessweb.com/,usa,35
10,Ultraviolet,4,Shanghai,European,5,+86 21 5288 8888,9:00 AM,1:00 AM,"18 Zhongshan East 1st Rd, Huangpu, Shanghai, China","An innovative dining concept in Shanghai, offering an immersive European cuisine experience.",china/Ultraviolet.jpg,https://theuselessweb.com/,china,10
11,Cai Yi Xuan,4,Beijing,Chinese,4.5,+86 10 6462 8888,10:00 AM,11:00 PM,"48 Liangmaqiao Rd, Chaoyang, Beijing, China","A luxury Chinese restaurant in Beijing, combining tradition and sophistication in its menu.",china/caiyixuan.jpg,https://theuselessweb.com/,china,25
12,DiVino Wine Bar,4,Hong Kong,Italian,4,+852 2521 8888,11:00 AM,9:00 PM,"73 Wyndham St, Central, Hong Kong","A popular Italian wine bar and restaurant in Hong Kong, known for its cozy ambiance and pasta dishes.",china/divino.jpg,https://theuselessweb.com/,china,35
