country_id,name,continent,population,official_language,currency,description,image_loc1,image_loc2,image_loc3
1,france,Europe,"6,70,81,000",French,Euro,"Known for its rich history, art, and culture, France attracts millions of tourists each year with its landmarks like the Eiffel Tower and the Louvre Museum.",france/france1.jpg,france/france2.jpg,france/france3.jpg
2,spain,Europe,"4,73,51,567",Spanish,Euro,"Spain is famous for its vibrant festivals, beautiful beaches, and historic cities like Barcelona and Madrid.",spain/spain1.jpg,spain/spain2.jpg,spain/spain3.jpg
3,usa,North America,"33,18,93,745",English,US Dollar,"The United States offers a diverse range of attractions, from the bustling cities of New York and Los Angeles to natural wonders like the Grand Canyon and Yellowstone National Park.",usa/us1.jpg,usa/us2.jpg,usa/us3.jpg
4,china,Asia,"1,44,42,16,107",Mandarin Chinese,Renminbi (Yuan),"China boasts incredible historical and cultural landmarks such as the Great Wall, the Forbidden City, and the Terracotta Warriors.",china/china1.jpg,china/china2.jpg,china/china3.jpg
5,italy,Europe,"6,02,44,639",Italian,Euro,"Italy is renowned for its rich cultural heritage, delicious cuisine, and iconic cities like Rome, Venice, and Florence.",italy/italy1.jpg,italy/italy2.jpg,italy/itlay3.jpg
6,turkey,Europe/Asia,"8,51,64,000",Turkish,Turkish Lira,"Turkey offers a unique blend of European and Asian cultures, with attractions like Istanbul, Cappadocia, and Pamukkale.",turkey/turkey1.jpg,turkey/turkey2.jpg,turkey/turkey3.jpg
7,mexico,North America,"12,60,14,024",Spanish,Mexican Peso,"Mexico is known for its stunning beaches, ancient Mayan ruins, and vibrant culture. Popular destinations include Cancun, Mexico City, and Tulum.",mexico/mexico1.jpg,mexico/mexico2.jpg,mexico/mexico3.jpg
8,uk,Europe,"6,78,86,011",English,Pound Sterling,"The United Kingdom offers a mix of modern and historic attractions, from the city of London to the scenic countryside of Scotland and Wales.",uk/uk1.jpg,uk/uk2.jpg,uk/uk3.jpg
9,germany,Europe,"8,32,40,525",German,Euro,"Germany is known for its rich history, castles, and cultural festivals. Major tourist destinations include Berlin, Munich, and the Black Forest.",germany/germany1.jpg,germany/germany2.jpg,germany/germany3.jpg
10,greece,Europe,"1,07,24,599",Greek,Euro,"Greece is famous for its ancient ruins, beautiful islands, and Mediterranean cuisine. Popular destinations include Athens, Santorini, and Mykonos.",greece/greece1.jpg,greece/greece2.jpg,greece/greece3.jpg
