hotel_id,name,country_id,location,star_rating,contact_info,price_range,amenities
1,Le Meurice,1,"Paris, France",5,Phone: +33 1 44 58 10 10,€€€€€,"Spa, Rooftop Terrace, Fine Dining"
2,The Ritz Paris,1,"Paris, France",5,Phone: +33 1 43 16 30 30,€€€€€,"Indoor Pool, Fitness Center, Private Gardens"
3,Hôtel Plaza Athénée,1,"Paris, France",5,Phone: +33 1 53 67 66 65,€€€€€,"Luxury Shopping, Michelin Star Dining, Wellness Center"
4,Hotel Arts Barcelona,2,"Barcelona, Spain",5,Phone: +34 93 221 10 00,€€€€,"Beachfront, Outdoor Pool, Art Collection"
5,"The Ritz-Carlton, Abama",2,"Tenerife, Spain",5,Phone: +34 922 12 80 00,€€€€,"Golf Course, Spa, Michelin Star Restaurant"
6,Hotel Alfonso XIII,2,"Seville, Spain",5,Phone: +34 954 91 70 00,€€€€,"Outdoor Pool, Garden, Historic Venue"
7,The Plaza Hotel,3,"New York, USA",5,Phone: +1 212-759-3000,$$$$,"Butler Service, Spa, High Tea"
8,The Broadmoor,3,"Colorado Springs, USA",5,Phone: +1 719-577-5775,$$$$,"Golf Course, Spa, Multiple Dining Options"
9,Four Seasons Resort,3,"Hualalai, Hawaii, USA",5,Phone: +1 808-325-8000,$$$$,"Oceanfront, Swimming Pools, Wellness Programs"
10,The Peninsula,4,"Beijing, China",5,Phone: +86 10 8516 2888,¥¥¥¥¥,"Spa, Gourmet Dining, Swimming Pool"
11,Aman Summer Palace,4,"Beijing, China",5,Phone: +86 10 5917 2222,¥¥¥¥¥,"Historic Site, Private Gardens, Luxurious Spa"
12,Mandarin Oriental,4,"Shanghai, China",5,Phone: +86 21 6282 8888,¥¥¥¥¥,"Rooftop Bar, Luxury Spa, Gourmet Dining"
13,The Gritti Palace,5,"Venice, Italy",5,Phone: +39 041 794611,€€€€,"Canal View, Luxury Spa, Fine Dining"
14,Hotel de Russie,5,"Rome, Italy",5,Phone: +39 06 323 100,€€€€,"Rooftop Bar, Spa, Historical Art Collection"
15,Belmond Hotel Caruso,5,"Ravello, Italy",5,Phone: +39 089 858 801,€€€€,"Infinity Pool, Historic Gardens, Panoramic Views"
16,Ciragan Palace Kempinski,6,"Istanbul, Turkey",5,Phone: +90 212 326 4646,€€€€€,"Bosphorus View, Spa, Private Jetty"
17,Four Seasons Hotel Istanbul,6,"Istanbul, Turkey",5,Phone: +90 212 381 4000,€€€€€,"Spa, Fine Dining, Indoor Pool"
18,The Ritz-Carlton,6,"Istanbul, Turkey",5,Phone: +90 212 334 4444,€€€€€,"Luxury Spa, Restaurant, Bosphorus Views"
19,Rosewood Mayakoba,7,"Playa del Carmen, Mexico",5,Phone: +52 984 875 8000,$$$$,"Overwater Bungalows, Beachfront, Golf Course"
20,The St. Regis Punta Mita Resort,7,"Punta Mita, Mexico",5,Phone: +52 329 291 5800,$$$$,"Beachfront, Luxury Spa, Private Villas"
21,"Esperanza, Auberge Resorts",7,"Cabo San Lucas, Mexico",5,Phone: +52 624 145 6200,$$$$,"Oceanfront, Private Pools, Wellness Center"
22,The Ritz London,8,"London, UK",5,Phone: +44 20 7493 8181,€€€€€,"Butler Service, Michelin Star Restaurant, Afternoon Tea"
23,Claridge's,8,"London, UK",5,Phone: +44 20 7629 8860,€€€€€,"Luxury Spa, Art Deco Design, Historic Venue"
24,The Savoy,8,"London, UK",5,Phone: +44 20 7836 4343,€€€€€,"River View, Fine Dining, Art Deco Interiors"
25,Hotel Adlon Kempinski,9,"Berlin, Germany",5,Phone: +49 30 22610,€€€€€,"Spa, Michelin Star Dining, Historic Architecture"
26,Bayerischer Hof,9,"Munich, Germany",5,Phone: +49 89 21200,€€€€€,"Rooftop Bar, Pool, Historic Venue"
27,The Ritz-Carlton,9,"Wolfsburg, Germany",5,Phone: +49 5361 6070,€€€€€,"Wellness Center, Golf Course, Fine Dining"
28,Grande Bretagne,10,"Athens, Greece",5,Phone: +30 210 3330000,€€€€€,"Rooftop Pool, Historic Venue, Wellness Center"
29,Canaves Oia Suites & Spa,10,"Santorini, Greece",5,Phone: +30 2286 071267,€€€€€,"Caldera View, Spa, Infinity Pools"
30,Costa Navarino,10,"Messinia, Greece",5,Phone: +30 27230 90000,€€€€€,"Golf Course, Wellness Center, Luxury Villas"
